Country,Cumulative_Cases,Date,Recovered,Deaths,,,,,
Republic of Ireland,1,2003-06-12,1,0,,,,,
Republic of Korea,3,2003-06-12,3,0,,,,,
Romania,1,2003-06-12,1,0,,,,,
Russian Federation,1,2003-06-12,0,0,,,,,
Singapore,206,2003-06-12,169,31,,,,,
South Africa,1,2003-06-12,0,1,,,,,
Spain,1,2003-06-12,1,0,,,,,
Sweden,3,2003-06-12,3,0,,,,,
Switzerland,1,2003-06-12,1,0,,,,,
Thailand,9,2003-06-12,6,2,,,,,
United Kingdom,4,2003-06-12,4,0,,,,,
United States,70,2003-06-12,36,0,,,,,
Viet Nam,63,2003-06-12,58,5,,,,,
Total,8445,2003-06-12,6670,790,,,,,
Australia,5,2003-06-13,5,0,,,,,
Brazil,3,2003-06-13,2,0,,,,,
Canada,242,2003-06-13,150,32,,,,,
China,5327,2003-06-13,4530,343,,,,,
"China, Hong Kong Special Administrative Region^4",1755,2003-06-13,1380,293,,,,,
"China, Macao Special Administrative Region",1,2003-06-13,1,0,,,,,
"China, Taiwan",693,2003-06-13,385,81,,,,,
Colombia,1,2003-06-13,1,0,,,,,
Finland,1,2003-06-13,1,0,,,,,
France,7,2003-06-13,6,0,,,,,
Germany,10,2003-06-13,9,0,,,,,
India,3,2003-06-13,3,0,,,,,
Indonesia,2,2003-06-13,2,0,,,,,
Italy,9,2003-06-13,9,0,,,,,
Kuwait,1,2003-06-13,1,0,,,,,
Malaysia,5,2003-06-13,3,2,,,,,
Mongolia,9,2003-06-13,9,0,,,,,
New Zealand,1,2003-06-13,1,0,,,,,
Philippines,14,2003-06-13,12,2,,,,,
Republic of Ireland,1,2003-06-13,1,0,,,,,
Republic of Korea,3,2003-06-13,3,0,,,,,
Romania,1,2003-06-13,1,0,,,,,
Russian Federation,1,2003-06-13,0,0,,,,,
Singapore,206,2003-06-13,169,31,,,,,
South Africa,1,2003-06-13,0,1,,,,,
Spain,1,2003-06-13,1,0,,,,,
Sweden,3,2003-06-13,3,0,,,,,
Switzerland,1,2003-06-13,1,0,,,,,
Thailand,9,2003-06-13,6,2,,,,,
United Kingdom,4,2003-06-13,4,0,,,,,
United States,71,2003-06-13,36,0,,,,,
Viet Nam,63,2003-06-13,58,5,,,,,
Total,8454,2003-06-13,6793,792,,,,,
Australia,5,2003-06-16,5,0,,,,,
Brazil,3,2003-06-16,2,0,,,,,
Canada,243,2003-06-16,156,32,,,,,
China,5326,2003-06-16,4656,346,,,,,
"China, Hong Kong Special Administrative Region^5",1755,2003-06-16,1386,295,,,,,
"China, Macao Special Administrative Region",1,2003-06-16,1,0,,,,,
"China, Taiwan",698,2003-06-16,443,83,,,,,
Colombia,1,2003-06-16,1,0,,,,,
Finland,1,2003-06-16,1,0,,,,,
France,7,2003-06-16,6,0,,,,,
Germany,10,2003-06-16,9,0,,,,,
India,3,2003-06-16,3,0,,,,,
Indonesia,2,2003-06-16,2,0,,,,,
Italy,9,2003-06-16,9,0,,,,,
Kuwait,1,2003-06-16,1,0,,,,,
Malaysia,5,2003-06-16,3,2,,,,,
Mongolia,9,2003-06-16,9,0,,,,,
New Zealand,1,2003-06-16,1,0,,,,,
Philippines,14,2003-06-16,12,2,,,,,
Republic of Ireland,1,2003-06-16,1,0,,,,,
Republic of Korea,3,2003-06-16,3,0,,,,,
Romania,1,2003-06-16,1,0,,,,,
Russian Federation,1,2003-06-16,0,0,,,,,
Singapore,206,2003-06-16,169,31,,,,,
South Africa,1,2003-06-16,0,1,,,,,
Spain,1,2003-06-16,1,0,,,,,
Sweden,3,2003-06-16,3,0,,,,,
Switzerland,1,2003-06-16,1,0,,,,,
Thailand,9,2003-06-16,6,2,,,,,
United Kingdom,4,2003-06-16,4,0,,,,,
United States,72,2003-06-16,36,0,,,,,
Viet Nam,63,2003-06-16,58,5,,,,,
Total,8460,2003-06-16,6989,799,,,,,
Australia,5,2003-06-17,5,0,,,,,
Brazil,3,2003-06-17,2,0,,,,,
Canada,247,2003-06-17,171,32,,,,,
China,5326,2003-06-17,4725,346,,,,,
"China, Hong Kong Special Administrative Region",1755,2003-06-17,1387,295,,,,,
"China, Macao Special Administrative Region",1,2003-06-17,1,0,,,,,
"China, Taiwan",697,2003-06-17,460,83,,,,,
Colombia,1,2003-06-17,1,0,,,,,
Finland,1,2003-06-17,1,0,,,,,
France,7,2003-06-17,6,0,,,,,
Germany,10,2003-06-17,9,0,,,,,
India,3,2003-06-17,3,0,,,,,
Indonesia,2,2003-06-17,2,0,,,,,
Italy,9,2003-06-17,9,0,,,,,
Kuwait,1,2003-06-17,1,0,,,,,
Malaysia,5,2003-06-17,3,2,,,,,
Mongolia,9,2003-06-17,9,0,,,,,
New Zealand,1,2003-06-17,1,0,,,,,
Philippines,14,2003-06-17,12,2,,,,,
Republic of Ireland,1,2003-06-17,1,0,,,,,
Republic of Korea,3,2003-06-17,3,0,,,,,
Romania,1,2003-06-17,1,0,,,,,
Russian Federation,1,2003-06-17,0,0,,,,,
Singapore,206,2003-06-17,169,31,,,,,
South Africa,1,2003-06-17,0,1,,,,,
Spain,1,2003-06-17,1,0,,,,,
Sweden,3,2003-06-17,3,0,,,,,
Switzerland,1,2003-06-17,1,0,,,,,
Thailand,9,2003-06-17,6,2,,,,,
United Kingdom,4,2003-06-17,4,0,,,,,
United States,73,2003-06-17,36,0,,,,,
Viet Nam,63,2003-06-17,58,5,,,,,
Total,8464,2003-06-17,7091,799,,,,,
Australia,5,2003-06-18,5,0,,,,,
Brazil,3,2003-06-18,2,0,,,,,
Canada,246,2003-06-18,176,33,,,,,
China,5326,2003-06-18,4762,347,,,,,
"China, Hong Kong Special Administrative Region^4",1755,2003-06-18,1393,295,,,,,
"China, Macao Special Administrative Region",1,2003-06-18,1,0,,,,,
"China, Taiwan",697,2003-06-18,469,83,,,,,
Colombia,1,2003-06-18,1,0,,,,,
Finland,1,2003-06-18,1,0,,,,,
France,7,2003-06-18,6,0,,,,,
Germany,10,2003-06-18,9,0,,,,,
India,3,2003-06-18,3,0,,,,,
Indonesia,2,2003-06-18,2,0,,,,,
Italy,9,2003-06-18,9,0,,,,,
Kuwait,1,2003-06-18,1,0,,,,,
Malaysia,5,2003-06-18,3,2,,,,,
Mongolia,9,2003-06-18,9,0,,,,,
New Zealand,1,2003-06-18,1,0,,,,,
Philippines,14,2003-06-18,12,2,,,,,
Republic of Ireland,1,2003-06-18,1,0,,,,,
Republic of Korea,3,2003-06-18,3,0,,,,,
Romania,1,2003-06-18,1,0,,,,,
Russian Federation,1,2003-06-18,0,0,,,,,
Singapore,206,2003-06-18,169,31,,,,,
South Africa,1,2003-06-18,0,1,,,,,
Spain,1,2003-06-18,1,0,,,,,
Sweden,3,2003-06-18,3,0,,,,,
Switzerland,1,2003-06-18,1,0,,,,,
